author_first,voice_first,L_first,R_first,author_second,voice_second,L_second,R_second,result,validation
d48454e63c864e07dfda93e619447c05,pool_31546723_14-02-2022_13-23-16/assignment_0001e15d63--61ff82f630815911afd9f72a/ru.893d42ad-8e3c-4fad-a4fe-f331a7fc1050.wav,603149,763149,ca8310d799b2d05cddbaccd8b5643b5b,pool_31546723_14-02-2022_13-23-16/assignment_0001e15d63--61ff93558b6100786171d595/ru.680f3377-f4ed-4220-b3d1-be81d07e5cb6.wav,742817,902817,1,True
d48454e63c864e07dfda93e619447c05,pool_31546723_14-02-2022_13-23-16/assignment_0001e15d63--61ff82f630815911afd9f72a/ru.893d42ad-8e3c-4fad-a4fe-f331a7fc1050.wav,603149,763149,417163f3e47e0898097d9db1203ece89,pool_31406799_14-02-2022_13-22-34/assignment_0001df3acf--61f7a62927b889118878e0e4/ru.d77f75f9-28b7-42f7-a18e-8dd4458dd045.wav,622897,782897,1,True
d48454e63c864e07dfda93e619447c05,pool_31546723_14-02-2022_13-23-16/assignment_0001e15d63--61ff82f630815911afd9f72a/ru.893d42ad-8e3c-4fad-a4fe-f331a7fc1050.wav,603149,763149,bea83f439f3a5f391b39a058ec1a6b0e,pool_31406799_14-02-2022_13-22-34/assignment_0001df3acf--61f7629133ad48327473413b/ru.7869248a-9b79-4c68-aa80-07cd879507a7.wav,1639451,1799451,1,True
d48454e63c864e07dfda93e619447c05,pool_31546723_14-02-2022_13-23-16/assignment_0001e15d63--61ff82f630815911afd9f72a/ru.893d42ad-8e3c-4fad-a4fe-f331a7fc1050.wav,603149,763149,b0cdde51ed794209697bbb9f2b9697bf,pool_31546723_14-02-2022_13-23-16/assignment_0001e15d63--6202b9817fd4a01495381b71/ru.8d6b2b48-d847-4315-a074-4b9be318b55b.wav,1157004,1317004,1,True
d48454e63c864e07dfda93e619447c05,pool_31546723_14-02-2022_13-23-16/assignment_0001e15d63--61ff82f630815911afd9f72a/ru.893d42ad-8e3c-4fad-a4fe-f331a7fc1050.wav,603149,763149,31f7071b2a859d86b6d05ab13dc9b004,pool_31546723_14-02-2022_13-23-16/assignment_0001e15d63--620371ec3ab85a3a0d0642a9/ru.736b859f-cad7-41cf-9938-aa5bbd9cc1ab.wav,964620,1124620,1,True
d48454e63c864e07dfda93e619447c05,pool_31546723_14-02-2022_13-23-16/assignment_0001e15d63--61ff82f630815911afd9f72a/ru.893d42ad-8e3c-4fad-a4fe-f331a7fc1050.wav,603149,763149,07ee6576b8ed9dc7d66c18a0b618e202,pool_31406799_14-02-2022_13-22-34/assignment_0001df3acf--61fad7552932f70fa4e49e80/ru.2a3a2b70-b510-43c3-9f3a-f9097729b5b2.wav,139472,299472,1,True
d48454e63c864e07dfda93e619447c05,pool_31546723_14-02-2022_13-23-16/assignment_0001e15d63--61ff82f630815911afd9f72a/ru.893d42ad-8e3c-4fad-a4fe-f331a7fc1050.wav,603149,763149,b7a0f701963fa8db5fd6c5a3efe18b65,pool_31546723_14-02-2022_13-23-16/assignment_0001e15d63--620348dcae038831c6540b36/ru.49e50b46-016c-427a-a791-39a62da85058.wav,419260,579260,1,True
d48454e63c864e07dfda93e619447c05,pool_31546723_14-02-2022_13-23-16/assignment_0001e15d63--61ff82f630815911afd9f72a/ru.893d42ad-8e3c-4fad-a4fe-f331a7fc1050.wav,603149,763149,29f8b5f60b436d0e371161cf7e634961,pool_31546723_14-02-2022_13-23-16/assignment_0001e15d63--61ff693e1f64b61be9772092/ru.7a6ffd37-54ac-4640-a175-77ff4e331b09.wav,1695567,1855567,1,True
d48454e63c864e07dfda93e619447c05,pool_31546723_14-02-2022_13-23-16/assignment_0001e15d63--61ff82f630815911afd9f72a/ru.893d42ad-8e3c-4fad-a4fe-f331a7fc1050.wav,603149,763149,7970c2dd76e091324c93c50f799ff30f,pool_31546723_14-02-2022_13-23-16/assignment_0001e15d63--6202783882720a001d42bed7/ru.2acc4123-b29d-413f-8581-54183abe2c6e.wav,1738140,1898140,1,True
d48454e63c864e07dfda93e619447c05,pool_31546723_14-02-2022_13-23-16/assignment_0001e15d63--61ff82f630815911afd9f72a/ru.893d42ad-8e3c-4fad-a4fe-f331a7fc1050.wav,603149,763149,dc293f9d7e805325e42b58f942d5abff,pool_31406799_14-02-2022_13-22-34/assignment_0001df3acf--61f9a2eb7cdcf935532d2760/ru.9fcfa3e5-e3aa-49fa-8087-99eeff428f42.wav,443135,603135,1,True
496b20a24f81e32d697ceea52101e461,pool_31406799_14-02-2022_13-22-34/assignment_0001df3acf--61f9430250d7f30290ab1511/ru.4900e176-3b39-4b13-9e3c-23e8cf13bba2.wav,1153502,1313502,ca8310d799b2d05cddbaccd8b5643b5b,pool_31546723_14-02-2022_13-23-16/assignment_0001e15d63--61ff93558b6100786171d595/ru.680f3377-f4ed-4220-b3d1-be81d07e5cb6.wav,742817,902817,1,True
496b20a24f81e32d697ceea52101e461,pool_31406799_14-02-2022_13-22-34/assignment_0001df3acf--61f9430250d7f30290ab1511/ru.4900e176-3b39-4b13-9e3c-23e8cf13bba2.wav,1153502,1313502,417163f3e47e0898097d9db1203ece89,pool_31406799_14-02-2022_13-22-34/assignment_0001df3acf--61f7a62927b889118878e0e4/ru.d77f75f9-28b7-42f7-a18e-8dd4458dd045.wav,622897,782897,1,True
496b20a24f81e32d697ceea52101e461,pool_31406799_14-02-2022_13-22-34/assignment_0001df3acf--61f9430250d7f30290ab1511/ru.4900e176-3b39-4b13-9e3c-23e8cf13bba2.wav,1153502,1313502,bea83f439f3a5f391b39a058ec1a6b0e,pool_31406799_14-02-2022_13-22-34/assignment_0001df3acf--61f7629133ad48327473413b/ru.7869248a-9b79-4c68-aa80-07cd879507a7.wav,1639451,1799451,1,True
496b20a24f81e32d697ceea52101e461,pool_31406799_14-02-2022_13-22-34/assignment_0001df3acf--61f9430250d7f30290ab1511/ru.4900e176-3b39-4b13-9e3c-23e8cf13bba2.wav,1153502,1313502,b0cdde51ed794209697bbb9f2b9697bf,pool_31546723_14-02-2022_13-23-16/assignment_0001e15d63--6202b9817fd4a01495381b71/ru.8d6b2b48-d847-4315-a074-4b9be318b55b.wav,1157004,1317004,1,True
